activity_name,average_heart_rate,calories,distance,active_duration,start_time,pace,date
Walk,108.0,507,,3739000,12:35:15,,2024-05-29
Walk,106.0,458,,3327000,11:53:38,,2024-05-30
Walk,107.0,280,,1996000,07:54:58,,2024-06-01
Walk,106.0,472,,3533000,09:35:39,,2024-06-01
Walk,104.0,274,,1947000,17:17:55,,2024-06-02
Walk,117.0,323,,2100000,18:57:49,,2024-06-02
Walk,100.0,282,,2253000,17:38:27,,2024-06-04
Walk,118.0,298,,1943000,19:19:09,,2024-06-04
Walk,108.0,318,,2304000,15:19:19,,2024-06-05
Walk,107.0,342,,2765000,16:52:22,,2024-06-05
Walk,131.0,431,,2714000,13:00:14,,2024-06-06
Walk,106.0,294,,2151000,11:26:23,,2024-06-07
Walk,114.0,264,,1946000,13:25:00,,2024-06-07
Run,161.0,322,2.94,1396000,10:49:07,470.1919838329404,2024-06-08
Walk,107.0,216,,1845000,09:20:50,,2023-08-25
Run,172.0,435,5.45,1899000,08:01:59,344.8125592391245,2023-08-26
Walk,93.0,299,,2970000,12:26:05,,2023-08-27
Walk,116.0,153,,1280000,10:10:18,,2023-08-28
Run,182.0,453,5.09,1841000,18:02:35,357.8641671250931,2023-08-31
Walk,106.0,278,,2151000,09:40:15,,2023-09-08
Walk,106.0,141,,1126000,11:26:58,,2023-09-08
Walk,105.0,435,,3840000,13:43:40,,2023-09-09
Walk,95.0,148,,1485000,07:36:45,,2023-09-12
Walk,103.0,268,,2356000,09:28:07,,2023-09-15
Walk,105.0,192,,1537000,09:53:35,,2023-09-23
Walk,100.0,103,,921000,10:41:24,,2023-09-23
Walk,104.0,176,,1484000,11:17:15,,2023-09-23
Walk,107.0,283,,2202000,12:53:41,,2023-09-23
Walk,104.0,276,,2202000,09:25:41,,2023-09-26
Walk,104.0,297,,2355000,11:08:07,,2023-09-26
Walk,104.0,434,,3738000,16:22:10,,2023-09-26
Walk,106.0,207,,1639000,17:52:37,,2023-09-26
Walk,108.0,265,,2048000,08:09:45,,2023-09-29
Walk,102.0,200,,1588000,09:50:26,,2023-09-29
Walk,113.0,272,,1945000,07:44:48,,2023-10-02
Walk,112.0,264,,1998000,09:39:09,,2023-10-02
Walk,110.0,297,,2254000,07:25:38,,2023-10-03
Walk,104.0,253,,2048000,09:09:47,,2023-10-03
Walk,109.0,293,,2305000,07:40:07,,2023-10-04
Walk,103.0,255,,2099000,09:34:30,,2023-10-04
Walk,111.0,261,,1996000,08:29:41,,2023-10-05
Walk,106.0,250,,1997000,10:53:03,,2023-10-05
Walk,106.0,259,,2052000,07:52:46,,2023-10-06
Walk,105.0,303,,2509000,09:41:12,,2023-10-06
Walk,108.0,262,,2050000,13:00:50,,2023-10-07
Walk,109.0,257,,1998000,14:37:19,,2023-10-07
Walk,99.0,496,,4354000,11:23:46,,2023-10-08
Walk,105.0,271,,2150000,08:10:45,,2023-10-09
Walk,112.0,296,,2202000,10:05:56,,2023-10-09
Walk,108.0,261,,2049000,10:06:38,,2023-10-10
Walk,113.0,279,,2100000,11:48:13,,2023-10-10
Walk,112.0,278,,2047000,08:17:13,,2023-10-11
Walk,106.0,269,,2099000,09:45:59,,2023-10-11
Walk,110.0,274,,1996000,11:53:15,,2023-10-18
Walk,109.0,277,,2098000,13:39:04,,2023-10-18
Walk,102.0,263,,2100000,11:24:53,,2023-10-19
Walk,114.0,281,,1997000,07:48:10,,2023-10-20
Walk,112.0,220,,1640000,09:14:23,,2023-10-20
Walk,101.0,281,,2305000,07:01:21,,2023-10-21
