date,value
2024-09-27,3213
2024-09-28,3890
2024-09-29,2300
2024-09-30,2156
2024-10-01,2916
2024-10-02,2446
2024-10-03,2622
2024-10-04,2726
2024-10-05,2694
2024-10-06,3018
2024-10-07,2228
2024-10-08,2878
2024-10-09,3095
2024-10-10,2013
2024-10-11,3089
2024-10-12,3347
2024-10-13,3611
2024-10-14,2925
2024-10-15,2084
2024-10-16,2191
2024-10-17,2083
2024-10-18,1838
2024-10-19,2146
2024-10-20,2593
2024-10-21,2063
2024-10-22,2727
2024-10-23,3186
2024-10-24,2031
2024-10-25,2839
2024-10-26,3098
2024-10-27,2267
2024-10-28,2033
2024-10-29,3257
2024-10-30,3924
2024-10-31,2517
2024-11-01,2375
2024-11-02,3989
2024-11-03,2562
2024-11-04,2195
2024-11-05,2495
2024-11-06,2371
2024-11-07,3340
2024-11-08,2102
2024-11-09,3908
2024-11-10,3068
2024-11-11,1998
2024-11-12,2927
2024-11-13,2187
2024-11-14,2846
2024-11-15,2214
2024-11-16,2002
2024-11-17,2983
2024-11-18,3002
2024-11-19,2100
2024-11-20,2271
2024-11-21,1814
2024-11-22,2013
2024-11-23,3188
2024-11-24,2828
2024-11-25,2447
2024-11-26,2179
2024-11-27,2092
2024-11-28,3236
2024-11-29,3662
2024-11-30,2317
2024-12-01,2193
2024-12-02,3207
2024-12-03,1841
2024-12-04,2779
2024-12-05,2019
2024-12-06,2133
2024-12-07,2102
2024-12-08,2393
2024-12-09,2136
2024-12-10,1993
2024-12-11,3172
2024-12-12,3051
2024-12-13,2574
2024-12-14,2222
2024-12-15,3113
2024-12-16,2120
2024-12-17,3366
2024-12-18,3088
2024-12-19,3137
2024-12-20,2150
2024-12-21,3212
2024-12-22,2208
2024-12-23,3308
2024-12-24,2032
2024-12-25,2782
2024-12-26,2269
2024-12-27,2138
2024-12-28,2336
2024-12-29,2149
2024-12-30,2204
2024-12-31,2075
2025-01-01,3047
2025-01-02,2158
2025-01-03,2110
2025-01-04,2274
2025-01-05,2090
2025-01-06,3653
2025-01-07,3237
2025-01-08,2187
2025-01-09,2687
2025-01-10,3241
2025-01-11,4077
2025-01-12,3397
2025-01-13,2132
2025-01-14,2130
2025-01-15,1960
2025-01-16,2191
2025-01-17,3051
2025-01-18,2037
2025-01-19,2319
2025-01-20,3262
2025-01-21,2194
2025-01-22,3085
2025-01-23,2118
2025-01-24,2977
2025-01-25,3494
2025-01-26,2099
2025-01-27,3044
2025-01-28,2895
2025-01-29,2166
2025-01-30,2114
2025-01-31,1833
2025-02-01,3726
2025-02-02,2929
2025-02-03,2122
2025-02-04,2609
2025-02-05,2063
2025-02-06,2403
2025-02-07,2950
2025-02-08,3031
2025-02-09,2263
2025-02-10,3203
2025-02-11,2225
2025-02-12,2650
2025-02-13,2046
2025-02-14,3133
2025-02-15,3752
2025-02-16,2046
2025-02-17,2401
2025-02-18,1824
2025-02-19,1814
2025-02-20,2825
2025-02-21,2091
2025-02-22,2592
2025-02-23,3240
2025-02-24,2236
2025-02-25,3092
2025-02-26,2083
2025-02-27,3076
2025-02-28,2269
2025-03-01,2471
2025-03-02,2040
2025-03-03,3138
2025-03-04,2169
2025-03-05,3152
2025-03-06,2121
2025-03-07,2958
2025-03-08,3497
2025-03-09,2116
2025-03-10,2015
2025-03-11,3461
2025-03-12,2866
2025-03-13,2893
2025-03-14,2145
